処理スキップ,仕入番号,行番号,連動パターンNo,自社部門コード,自社部門名,自社担当者コード,自社担当者名,自社部門、担当者の印字,案件番号,仕入日,件名,仕入先コード,仕入先名,仕入先担当者,締め支払方法,支払区分,支払方法,仕入締日,支払予定日,消費税率,検収書コメント(上段),検収書コメント(下段),検収書コメント(フッター),支払明細書コメント(上段),支払明細書コメント(下段),支払明細書コメント(フッター),商品コード,商品名,商品名（下段）,数量,単位,仕入単価,税区分,内外税,備考,倉庫割振り連番,倉庫コード,倉庫数量,発注番号
,152,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0390,昭和堂,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,153,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0420,鈴木服装,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,154,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0430,西部毎日広告社,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,155,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0440,タニコー,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,156,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0460,田原鉄工,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,157,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0500,中央綜合警備保障,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,158,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0520,陶器の窯蔵,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,159,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0530,ナカムラ広芸社,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,160,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0550,長崎新聞折込センター,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,161,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0560,長崎防災,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,162,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0570,鳴滝,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,163,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0580,鳴滝塗装,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,164,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0590,ニュートラル,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,165,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0650,ふくやまクリーニング,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,166,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0660,フルショウユウダイ,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,167,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0690,扶桑建物管理,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,168,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0710,文榮出版社,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,169,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0720,ホシザキ北九,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,170,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0790,森田電気,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,171,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0830,株式会社コスモ,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,172,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0870,浜松建設,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,173,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0050,雲仙宮崎旅館,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
,174,1,1,0,部門なし,,,印字しない,,2022/2/14,,s0640,ＦｉｒｓｔＷａｖｅ,,,締め,普通預金,2022/2/28,2022/3/31,10,,,,,,,10010,仕入,,1,,0,課税(標準),内税,,,,,
